"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","chao1_unique"
"1",527,"HEMI","VEH","11DPI","F","TBI",44
"2",528,"HEMI","VEH","11DPI","F","TBI",53
"3",529,"HEMI","VEH","11DPI","F","TBI",30
"4",530,"HEMI","FMT","11DPI","F","TBI",33
"5",531,"HEMI","FMT","11DPI","F","TBI",113.142857142857
"6",532,"WT","VEH","11DPI","F","TBI",42
"7",533,"WT","VEH","11DPI","F","TBI",74
"8",534,"WT","VEH","11DPI","F","TBI",54
"9",535,"WT","FMT","11DPI","F","TBI",50.3333333333333
"10",536,"WT","FMT","11DPI","F","TBI",39
"11",537,"HEMI","VEH","11DPI","M","TBI",39
"12",538,"HEMI","VEH","11DPI","M","TBI",66.2
"13",539,"HEMI","VEH","11DPI","M","TBI",39
"14",540,"HEMI","FMT","11DPI","M","TBI",48
"15",541,"HEMI","FMT","11DPI","M","TBI",51
"16",542,"HEMI","VEH","11DPI","M","Sham",48
"17",543,"HEMI","VEH","11DPI","M","Sham",41
"18",544,"HEMI","FMT","11DPI","M","Sham",106
"19",545,"HEMI","FMT","11DPI","M","Sham",68
"20",546,"WT","VEH","11DPI","M","TBI",30
"21",547,"WT","VEH","11DPI","M","TBI",40
"22",548,"WT","FMT","11DPI","M","TBI",66.1428571428571
"23",549,"WT","FMT","11DPI","M","TBI",74
"24",550,"WT","VEH","11DPI","F","Sham",83
"25",551,"WT","VEH","11DPI","F","Sham",37
"26",552,"WT","VEH","11DPI","F","Sham",12
"27",553,"WT","FMT","11DPI","F","Sham",94
"28",554,"WT","FMT","11DPI","F","Sham",54.5
"29",555,"HEMI","FMT","11DPI","F","Sham",47
"30",556,"HEMI","FMT","11DPI","F","Sham",55
"31",557,"HEMI","FMT","11DPI","F","Sham",51
"32",558,"WT","VEH","11DPI","M","Sham",54
"33",559,"WT","VEH","11DPI","M","Sham",54
"34",560,"WT","FMT","11DPI","M","Sham",38
"35",561,"WT","FMT","11DPI","M","Sham",52
"36",562,"HEMI","FMT","11DPI","F","TBI",39
"37",563,"HEMI","FMT","11DPI","F","TBI",124.2
"38",564,"HEMI","VEH","11DPI","F","TBI",47
"39",565,"HEMI","VEH","11DPI","F","TBI",40
"40",566,"HEMI","FMT","11DPI","M","Sham",107.25
"41",567,"HEMI","FMT","11DPI","M","Sham",51
"42",568,"HEMI","VEH","11DPI","M","Sham",80.25
"43",569,"HEMI","VEH","11DPI","M","Sham",64
"44",570,"WT","FMT","11DPI","F","Sham",48
"45",571,"WT","FMT","11DPI","F","Sham",54
"46",572,"WT","FMT","11DPI","F","Sham",40
"47",573,"WT","VEH","11DPI","F","Sham",61
"48",574,"WT","VEH","11DPI","F","Sham",50
"49",575,"WT","FMT","11DPI","M","Sham",51
"50",576,"WT","FMT","11DPI","M","Sham",48
"51",577,"WT","FMT","11DPI","M","Sham",99.75
"52",578,"WT","VEH","11DPI","M","Sham",55
"53",579,"WT","VEH","11DPI","M","Sham",58.3333333333333
"54",580,"HEMI","VEH","11DPI","F","Sham",45
"55",581,"HEMI","VEH","11DPI","F","Sham",37
"56",582,"HEMI","VEH","11DPI","F","Sham",37
"57",583,"HEMI","FMT","11DPI","F","Sham",63
"58",584,"HEMI","FMT","11DPI","F","Sham",76
"59",585,"HEMI","FMT","11DPI","M","TBI",53
"60",586,"HEMI","FMT","11DPI","M","TBI",44
"61",587,"HEMI","FMT","11DPI","M","TBI",57
"62",588,"HEMI","VEH","11DPI","M","TBI",50
"63",589,"HEMI","VEH","11DPI","M","TBI",31
"64",590,"WT","FMT","11DPI","F","TBI",51
"65",591,"WT","FMT","11DPI","F","TBI",37
"66",592,"WT","FMT","11DPI","F","TBI",52
"67",593,"WT","VEH","11DPI","F","TBI",43
"68",594,"WT","VEH","11DPI","F","TBI",49
"69",595,"WT","FMT","11DPI","M","TBI",55
"70",596,"WT","FMT","11DPI","M","TBI",64.5
"71",597,"WT","FMT","11DPI","M","TBI",62
"72",598,"WT","VEH","11DPI","M","TBI",37
"73",599,"WT","VEH","11DPI","M","TBI",67
"74",527,"HEMI","VEH","1DPI","F","TBI",44
"75",527,"HEMI","VEH","3DPI","F","TBI",18
"76",527,"HEMI","VEH","BA","F","TBI",97.2
"77",528,"HEMI","VEH","1DPI","F","TBI",7
"78",528,"HEMI","VEH","3DPI","F","TBI",23
"79",528,"HEMI","VEH","BA","F","TBI",97.2
"80",529,"HEMI","VEH","1DPI","F","TBI",13
"81",529,"HEMI","VEH","3DPI","F","TBI",56
"82",529,"HEMI","VEH","BA","F","TBI",73
"83",530,"HEMI","FMT","1DPI","F","TBI",13
"84",531,"HEMI","FMT","1DPI","F","TBI",41
"85",532,"WT","VEH","1DPI","F","TBI",30
"86",533,"WT","VEH","1DPI","F","TBI",16
"87",533,"WT","VEH","3DPI","F","TBI",21
"88",533,"WT","VEH","BA","F","TBI",90.25
"89",534,"WT","VEH","1DPI","F","TBI",60
"90",535,"WT","FMT","1DPI","F","TBI",23
"91",535,"WT","FMT","3DPI","F","TBI",40
"92",535,"WT","FMT","BA","F","TBI",88.5
"93",536,"WT","FMT","1DPI","F","TBI",6
"94",537,"HEMI","VEH","1DPI","M","TBI",11
"95",538,"HEMI","VEH","1DPI","M","TBI",5
"96",538,"HEMI","VEH","3DPI","M","TBI",35
"97",538,"HEMI","VEH","BA","M","TBI",88
"98",539,"HEMI","VEH","1DPI","M","TBI",6
"99",539,"HEMI","VEH","3DPI","M","TBI",55
"100",539,"HEMI","VEH","BA","M","TBI",74
"101",540,"HEMI","FMT","1DPI","M","TBI",9
"102",540,"HEMI","FMT","3DPI","M","TBI",41
"103",540,"HEMI","FMT","BA","M","TBI",74
"104",541,"HEMI","FMT","1DPI","M","TBI",17
"105",541,"HEMI","FMT","3DPI","M","TBI",35
"106",541,"HEMI","FMT","BA","M","TBI",78
"107",542,"HEMI","VEH","1DPI","M","Sham",15
"108",543,"HEMI","VEH","1DPI","M","Sham",8
"109",544,"HEMI","FMT","1DPI","M","Sham",27
"110",545,"HEMI","FMT","1DPI","M","Sham",9
"111",546,"WT","VEH","1DPI","M","TBI",6
"112",546,"WT","VEH","3DPI","M","TBI",25
"113",546,"WT","VEH","BA","M","TBI",61
"114",547,"WT","VEH","1DPI","M","TBI",11
"115",547,"WT","VEH","3DPI","M","TBI",17
"116",547,"WT","VEH","BA","M","TBI",65
"117",548,"WT","FMT","1DPI","M","TBI",28
"118",548,"WT","FMT","3DPI","M","TBI",38
"119",548,"WT","FMT","BA","M","TBI",31.5
"120",549,"WT","FMT","1DPI","M","TBI",14
"121",549,"WT","FMT","3DPI","M","TBI",55
"122",549,"WT","FMT","BA","M","TBI",59.1666666666667
"123",550,"WT","VEH","1DPI","F","Sham",24
"124",550,"WT","VEH","3DPI","F","Sham",7
"125",550,"WT","VEH","BA","F","Sham",78
"126",551,"WT","VEH","1DPI","F","Sham",11
"127",552,"WT","VEH","1DPI","F","Sham",4
"128",553,"WT","FMT","1DPI","F","Sham",2
"129",553,"WT","FMT","3DPI","F","Sham",63
"130",553,"WT","FMT","BA","F","Sham",59
"131",554,"WT","FMT","1DPI","F","Sham",52
"132",555,"HEMI","FMT","1DPI","F","Sham",17
