feature	c__Chloroplast Class	d__Bacteria Kingdom	f__Borkfalkiaceae Family	f__Christensenellaceae Family	f__Clostridiaceae_222000 Family	f__Coprobacillaceae Family	f__Eggerthellaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	g__1XD8-76	g__Acetatifactor	g__Acidovorax_F_589733	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerotruncus	g__Avispirillum	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Borkfalkia	g__Brotaphodocola	g__Butyribacter	g__C-19	g__CAG-269	g__CAG-314	g__CAG-873	g__COE1	g__Choladousia	g__Clostridium_AQ	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Dorea_D_143701	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterenecus	g__Enterocloster	g__Enterococcus_B	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_F	g__Eubacterium_G_180878	g__Eubacterium_R	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Ileibacterium	g__Kineothrix	g__Lachnoclostridium_B	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__MD308	g__Merdibacter	g__Mesorhizobium_I	g__NK4A144	g__Novosphingobium	g__Paraclostridium	g__Parasutterella_564865	g__Parvibacter	g__Pelethenecus	g__Petralouisia	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Ruminococcus_B	g__Schaedlerella	g__Sporofaciens	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Suilimivivens	g__Thomasclavelia	g__Turicibacter	g__UBA2730	g__UBA3282	g__UBA7173	g__UBA9414	g__UBA946	g__Ventrisoma	g__WRAF01	o__Christensenellales Order	o__Lachnospirales Order
Villapol_11_DPI_527	NA	NA	NA	NA	NA	NA	NA	-11.8024355848619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.4706229010427	NA	NA	NA	-0.489666053457549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.10755539206271	-3.68557182717101	NA	NA	NA	NA	NA	NA	NA	-10.664932061112	-9.31700875769166	-4.36780735722518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.48050748997454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.96197235099236	NA	NA	NA	NA	NA	NA	-7.83896146088702	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.22954591644133	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_528	NA	NA	-7.80871440863004	-11.1396312867447	NA	NA	NA	-7.10071229745235	NA	-7.41853209803747	NA	NA	NA	NA	NA	NA	NA	NA	-2.62171589382878	NA	NA	NA	-0.53461483883329	NA	NA	NA	NA	NA	NA	NA	NA	-6.45313075956144	NA	-7.43227215466377	NA	NA	NA	NA	NA	NA	NA	NA	-8.43919156860356	-8.61606933068764	NA	NA	-10.7473138639659	NA	NA	NA	-3.64477570225346	NA	NA	NA	NA	-9.61606933068764	NA	-11.5546687860235	NA	NA	-9.9301779211157	NA	NA	NA	NA	-6.83585053856755	NA	NA	NA	NA	NA	NA	NA	NA	-8.08434885124346	NA	NA	NA	NA	NA	NA	-8.5546687860235	NA	NA	NA	NA	NA	-8.61606933068764	NA	NA	NA	NA	NA	NA	NA	-7.79978128386003	NA
Villapol_11_DPI_529	NA	NA	NA	NA	NA	NA	NA	-10.539697351202	NA	NA	NA	NA	NA	NA	NA	NA	-8.46169483920069	-4.78184439056194	-2.52971326262934	NA	NA	NA	-7.2177692563146	-6.52971326262934	NA	NA	NA	NA	NA	NA	NA	-8.31730492986552	NA	-9.18606039658727	NA	NA	-8.66522823328583	NA	-1.60699046378931	NA	NA	NA	NA	NA	NA	-10.539697351202	-4.24405594783488	NA	NA	NA	-1.44547301292095	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.90226743058667	NA	NA	NA	NA	-9.00918263450319	NA	NA	NA	-12.1246598519231	NA	NA	NA	NA	NA	NA	NA	-6.88944339022909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.9022674305867	NA	NA	NA	NA	NA
Villapol_11_DPI_530	NA	-8.34809580925453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1554507313121	NA	NA	NA	-6.88243223690572	NA	NA	NA	-5.92023426961811	NA	NA	NA	NA	-11.7404132320333	NA	NA	-9.0399735138922	NA	NA	NA	-9.74041323203329	-7.57048823059098	-7.61113021508833	NA	-7.49248571858971	NA	NA	-9.0399735138922	NA	NA	-9.93305830997569	-1.78041129996521	-10.7404132320333	NA	NA	NA	-8.15545073131214	NA	NA	NA	NA	NA	NA	-10.1554507313121	-2.53461998263614	NA	NA	NA	NA	NA	-1.08846462130985	NA	NA	NA	NA	NA	-8.15545073131214	-10.7404132320333	NA	NA	NA	NA	-9.74041323203329	NA	NA	NA	-9.74041323203329	NA	NA	-10.4184851371459	NA	NA	-9.93305830997569	-8.83352263642477	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_531	NA	NA	-9.28782229498441	-12.6801397177632	NA	NA	NA	-5.76725038153321	-3.53293479282094	-10.095177217042	NA	-11.6801397177632	-7.65777190473472	NA	-6.38551896887154	-10.2207080991259	-7.95221926319997	-8.35821162287581	-4.34474936306925	-3.1274706202489	-12.6801397177632	NA	-1.49712471688041	NA	-7.77324912215465	NA	NA	NA	NA	-7.43221220431959	-2.69429778075983	-4.7642603389274	NA	NA	NA	NA	NA	NA	NA	-4.03989478154083	-7.1882866214335	-11.095177217042	-7.74940238020028	NA	NA	NA	-10.8727847957056	NA	-7.35821162287581	NA	NA	NA	NA	NA	NA	-8.1882866214335	-9.15657776170616	NA	-6.46097119730101	NA	-8.97969999962208	-7.27074878162547	NA	NA	NA	-7.68013971776317	NA	NA	-8.8221587226356	NA	NA	NA	NA	NA	-6.71435543310108	-7.47068635213422	NA	NA	NA	NA	NA	-8.5508567008182	NA	NA	NA	-9.09517721704201	NA	NA	NA	-6.32258771314509	NA	-10.095177217042	NA	NA	-9.87278479570557	NA	NA
Villapol_11_DPI_532	NA	NA	NA	NA	NA	NA	NA	NA	-6.82244132387858	NA	-8.58088664545524	NA	NA	NA	NA	-6.69987468167233	-9.44338312170531	NA	-11.4877772410638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.49909255429159	NA	NA	NA	NA	NA	-10.6804223190062	NA	-6.14348133314794	-5.24937250173868	NA	NA	NA	NA	NA	NA	-10.1658491461764	NA	NA	NA	-1.45005871131011	NA	NA	NA	NA	NA	NA	NA	-3.0536703124538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.1658491461764	NA	-5.45987124449387	NA	NA	NA	NA	NA	-4.4751527021987	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.57059166472736	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_533	NA	NA	NA	NA	NA	NA	NA	-6.12081315871797	-6.24570440654578	NA	NA	NA	NA	NA	-6.78906600280016	-10.0998535400823	-10.2153307575023	NA	-2.24858499660273	NA	NA	NA	-1.1862736437877	NA	NA	NA	NA	NA	NA	NA	-3.97215677402931	-4.03708089140902	NA	NA	NA	NA	NA	NA	NA	-4.21345347026159	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.12786791625192	-4.96108947012647	NA	NA	NA	NA	-12.2153307575023	NA	NA	NA	-9.15643706844869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.7586341065862	NA	NA	-9.40797583544466	-7.73420406776565	NA	NA	NA	NA	NA	-6.70226117526289	NA	NA	NA	-7.47836516333606	-10.6303682567811	-4.96108947012647	NA	-7.8934026626149	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_534	NA	NA	NA	NA	NA	NA	NA	-9.35508807688654	NA	NA	NA	NA	NA	NA	NA	-11.961745648707	NA	NA	-7.60099830492912	NA	NA	NA	-5.96790663333369	NA	NA	NA	NA	NA	NA	NA	-6.75229228307806	-7.94544383637791	NA	NA	NA	NA	-11.1732497539007	-12.251252265902	-11.4211772673443	-8.91338262714561	-11.0288598445655	NA	NA	NA	NA	NA	NA	-12.6138223452867	NA	-14.4211772673443	-6.98654903970758	NA	NA	NA	NA	-11.5142866717358	NA	NA	-0.174659324155395	NA	-11.4211772673443	NA	NA	NA	NA	NA	NA	NA	-13.8362147666232	-13.8362147666232	NA	-10.2918942503993	NA	NA	-11.7207375492032	NA	NA	-11.6138223452867	NA	NA	NA	-10.6662897651808	NA	NA	NA	NA	NA	-4.02885984456555	NA	-8.96174564870701	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_535	NA	NA	NA	NA	NA	NA	NA	NA	-6.55055609588593	NA	-9.48076776572907	NA	NA	NA	NA	-10.58030343928	-8.49688743109235	-11.2721811439177	NA	-11.8026958606164	NA	NA	NA	-7.90653167160097	NA	NA	NA	NA	NA	NA	-5.89047182070487	NA	NA	NA	NA	-7.87458877909822	-11.9726208620587	NA	-4.96840039574055	-6.0778030987508	NA	NA	NA	NA	NA	NA	-10.7246933486152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.919034318419571	NA	NA	-8.44905890600173	NA	NA	NA	NA	NA	NA	NA	-12.9726208620587	NA	-10.1652659400011	NA	NA	NA	NA	-11.3876583613376	-5.0552487825819	-13.3876583613376	NA	NA	NA	NA	NA	NA	NA	NA	-1.52411734258991	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_536	NA	NA	NA	NA	NA	NA	NA	NA	-7.42844297981411	NA	-9.11468881637245	NA	NA	NA	NA	-9.89604852989711	-8.55619852701249	-12.0886936078395	NA	NA	NA	NA	NA	-10.2521923401224	NA	NA	NA	NA	NA	NA	-6.92450497594634	NA	NA	NA	NA	NA	-12.0886936078395	NA	-6.34145967821947	-6.16133890967127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.605741633639209	NA	NA	-10.1411610277336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.84756165590477	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.94276146201899	NA	NA	NA	NA	NA	NA	NA	NA	NA
