feature	c__Chloroplast Class	d__Bacteria Kingdom	f__Borkfalkiaceae Family	f__Christensenellaceae Family	f__Clostridiaceae_222000 Family	f__Coprobacillaceae Family	f__Eggerthellaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	g__1XD8-76	g__Acetatifactor	g__Acidovorax_F_589733	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerotruncus	g__Avispirillum	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Borkfalkia	g__Brotaphodocola	g__Butyribacter	g__C-19	g__CAG-269	g__CAG-314	g__CAG-873	g__COE1	g__Choladousia	g__Clostridium_AQ	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Dorea_D_143701	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterenecus	g__Enterocloster	g__Enterococcus_B	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_F	g__Eubacterium_G_180878	g__Eubacterium_R	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Ileibacterium	g__Kineothrix	g__Lachnoclostridium_B	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__MD308	g__Merdibacter	g__Mesorhizobium_I	g__NK4A144	g__Novosphingobium	g__Paraclostridium	g__Parasutterella_564865	g__Parvibacter	g__Pelethenecus	g__Petralouisia	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Ruminococcus_B	g__Schaedlerella	g__Sporofaciens	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Suilimivivens	g__Thomasclavelia	g__Turicibacter	g__UBA2730	g__UBA3282	g__UBA7173	g__UBA9414	g__UBA946	g__Ventrisoma	g__WRAF01	o__Christensenellales Order	o__Lachnospirales Order
Villapol_11_DPI_527	NA	NA	NA	NA	NA	NA	NA	0.000279970883028165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0902066185116748	NA	NA	NA	0.712189932247046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0145024917408589	0.0777199171286186	NA	NA	NA	NA	NA	NA	NA	0.000615935942661963	0.00156783694495772	0.0484349627638726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00139985441514083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0320846631950277	NA	NA	NA	NA	NA	NA	0.00436754577523937	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666330701607033	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_528	NA	NA	0.00446008089090808	0.000443237852512605	NA	NA	NA	0.00728572220067594	NA	0.00584519918000997	NA	NA	NA	NA	NA	NA	NA	NA	0.162474375311652	NA	NA	NA	0.690342955288382	NA	NA	NA	NA	NA	NA	NA	NA	0.0114133747021996	NA	0.0057897944484459	NA	NA	NA	NA	NA	NA	NA	NA	0.00288104604133193	0.00254861765194748	NA	NA	0.000581749681422794	NA	NA	NA	0.079949027646961	NA	NA	NA	NA	0.00127430882597374	NA	0.000332428389384453	NA	NA	0.0010249875339354	NA	NA	NA	NA	0.00875394758712394	NA	NA	NA	NA	NA	NA	NA	NA	0.00368441464901103	NA	NA	NA	NA	NA	NA	0.00265942711507563	NA	NA	NA	NA	NA	0.00254861765194748	NA	NA	NA	NA	NA	NA	NA	0.00448778325669012	NA
Villapol_11_DPI_529	NA	NA	NA	NA	NA	NA	NA	0.000671792192281854	NA	NA	NA	NA	NA	NA	NA	NA	0.00283645592296783	0.0363514219601403	0.173173098454878	NA	NA	NA	0.00671792192281854	0.0108233186534299	NA	NA	NA	NA	NA	NA	NA	0.00313503023064865	NA	0.00171680226916474	NA	NA	0.0024632380383668	NA	0.328282451295066	NA	NA	NA	NA	NA	NA	0.000671792192281854	0.0527730088825857	NA	NA	NA	0.367171754870493	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00209002015376577	NA	NA	NA	NA	0.00194073299992536	NA	NA	NA	0.000223930730760618	NA	NA	NA	NA	NA	NA	NA	0.00843472419198328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000522505038441442	NA	NA	NA	NA	NA
Villapol_11_DPI_530	NA	0.00306882946076282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000438404208680403	NA	NA	NA	0.00847581470115446	NA	NA	NA	0.0165132251936285	NA	NA	NA	NA	0.000292269472453602	NA	NA	0.00189975157094841	NA	NA	NA	0.00116907788981441	0.00526085050416484	0.00511471576793804	NA	0.00555311997661844	NA	NA	0.00189975157094841	NA	NA	0.00102294315358761	0.291100394563788	0.000584538944907204	NA	NA	NA	0.00350723366944323	NA	NA	NA	NA	NA	NA	0.000876808417360807	0.172585123483852	NA	NA	NA	NA	NA	0.470261581177846	NA	NA	NA	NA	NA	0.00350723366944323	0.000584538944907204	NA	NA	NA	NA	0.00116907788981441	NA	NA	NA	0.00116907788981441	NA	NA	0.000730673681134006	NA	NA	0.00102294315358761	0.00219202104340202	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_531	NA	NA	0.00159987810452537	0.00015236934328813	NA	NA	NA	0.0183605058662197	0.0863934176443699	0.000914216059728783	NA	0.000304738686576261	0.00495200365686424	NA	0.0119609934481182	0.000838031388084717	0.00403778759713546	0.00304738686576261	0.0492152978820661	0.114429376809386	0.00015236934328813	NA	0.354258723144903	NA	0.00457108029864391	NA	NA	NA	NA	0.00579003504494896	0.154502514094164	0.0367971964040835	NA	NA	NA	NA	NA	NA	NA	0.060795367971964	0.00685662044796587	0.000457108029864391	0.00464726497028798	NA	NA	NA	0.000533292701508456	NA	0.00609477373152522	NA	NA	NA	NA	NA	NA	0.00342831022398293	0.0017522474478135	NA	0.0113515160749657	NA	0.0019808014627457	0.00647569708974554	NA	NA	NA	0.00487581898522017	NA	NA	0.00220935547767789	NA	NA	NA	NA	NA	0.00952308395550815	0.00563766570166083	NA	NA	NA	NA	NA	0.00266646350754228	NA	NA	NA	0.00182843211945757	NA	NA	NA	0.0124942861496267	NA	0.000914216059728783	NA	NA	0.00106658540301691	NA	NA
Villapol_11_DPI_532	NA	NA	NA	NA	NA	NA	NA	NA	0.00883569096844396	NA	0.00261153427638738	NA	NA	NA	NA	0.00961915125136017	0.00143634385201306	NA	0.000348204570184984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0442219804134929	NA	NA	NA	NA	NA	0.000609357997823721	NA	0.014145810663765	0.0262894450489663	NA	NA	NA	NA	NA	NA	0.000870511425462459	NA	NA	NA	0.366006528835691	NA	NA	NA	NA	NA	NA	NA	0.120435255712731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000217627856365615	NA	0.0227203482045702	NA	NA	NA	NA	NA	0.044961915125136	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.336670293797606	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_533	NA	NA	NA	NA	NA	NA	NA	0.0143698303659049	0.0131781858965372	NA	NA	NA	NA	NA	0.00904247862049628	0.00091125753539885	0.000841160801906631	NA	0.210430393943642	NA	NA	NA	0.439436422262723	NA	NA	NA	NA	NA	NA	NA	0.0637179307444273	0.0609140614047385	NA	NA	NA	NA	NA	NA	NA	0.0539043880555166	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00357493340810318	0.0321043039394364	NA	NA	NA	NA	0.000210290200476658	NA	NA	NA	0.00175241833730548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0369409785503996	NA	NA	0.0014720314033366	0.00469648114397869	NA	NA	NA	NA	NA	0.00960325248843404	NA	NA	NA	0.00560773867937754	0.000630870601429973	0.0321043039394364	NA	0.00420580400953316	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_534	NA	NA	NA	NA	NA	NA	NA	0.00152699592041388	NA	NA	NA	NA	NA	NA	NA	0.000250700822754518	NA	NA	0.00515076235841101	NA	NA	NA	0.0159764797046289	NA	NA	NA	NA	NA	NA	NA	0.00927593044191718	0.00405679513184584	NA	NA	NA	NA	0.000433028693848713	0.00020511885498097	0.00036465574218839	0.00207397953369647	0.000478610661622262	NA	NA	NA	NA	NA	NA	0.000159536887207421	NA	4.55819677735488e-05	0.00788568042482394	NA	NA	NA	NA	0.000341864758301616	NA	NA	0.885976707614468	NA	0.00036465574218839	NA	NA	NA	NA	NA	NA	NA	6.83729516603232e-05	6.83729516603232e-05	NA	0.000797684436037104	NA	NA	0.000296282790528067	NA	NA	0.000319073774414842	NA	NA	NA	0.000615356564942909	NA	NA	NA	NA	NA	0.0612621646876496	NA	0.00200560658203615	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_535	NA	NA	NA	NA	NA	NA	NA	NA	0.0106680766359791	NA	0.00139960189101767	NA	NA	NA	NA	0.000653147549141578	0.0027681015177905	0.000404329435182881	NA	0.000279920378203533	NA	NA	NA	0.00416770340880816	NA	NA	NA	NA	NA	NA	0.0168574272207017	NA	NA	NA	NA	0.00426101020154267	0.000248818113958696	NA	0.0319420253794476	0.0148046777805424	NA	NA	NA	NA	NA	NA	0.000590943020651903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528862901219209	NA	NA	0.00286140831052501	NA	NA	NA	NA	NA	NA	NA	0.000124409056979348	NA	0.000870863398855437	NA	NA	NA	NA	0.000373227170938044	0.0300758895247574	9.33067927345111e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.347692211993033	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_536	NA	NA	NA	NA	NA	NA	NA	NA	0.00580518202689406	NA	0.00180387012135126	NA	NA	NA	NA	0.00104952443424073	0.00265660872417186	0.000229583469990161	NA	NA	NA	NA	NA	0.000819940964250574	NA	NA	NA	NA	NA	NA	0.00823220728107576	NA	NA	NA	NA	NA	0.000229583469990161	NA	0.0123319121023286	0.0139717940308298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65713348638898	NA	NA	0.00088553624139062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0347326992456543	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.260118071498852	NA	NA	NA	NA	NA	NA	NA	NA	NA
