"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Lepagella"	"Treatment"	"FMT"	"TreatmentFMT"	3.05897846313932	0	0.764863052627978	6.35084750003533e-05	0.0107964407500601	0.00012701291667431	0.012320252917408	NA	"prevalence"	73	51
"g__Parasutterella_564865"	"Treatment"	"FMT"	"TreatmentFMT"	-2.43247618255774	-0.216192636048604	0.536641966545222	0.000383670736335384	0.0326120125885077	0.000383670736335384	0.0186080307122661	NA	"abundance"	73	53
"g__Lactobacillus"	"Treatment"	"FMT"	"TreatmentFMT"	1.62944726491468	0	0.53223913701529	0.00220234935413563	0.124799796734352	0.00439984836559359	0.142261763820859	NA	"prevalence"	73	47
"g__Lactobacillus"	"Treatment"	"FMT"	"TreatmentFMT"	3.24471362413321	-0.216192636048604	1.07479130354308	0.00299968203704881	0.127486486574575	0.00439984836559359	0.142261763820859	NA	"abundance"	73	47
"g__Akkermansia"	"Treatment"	"FMT"	"TreatmentFMT"	-1.87621670652514	0	0.669482677064501	0.0050710211424417	0.172414718843018	0.0101163270294563	0.196256744371453	NA	"prevalence"	73	55
"g__Adlercreutzia_A_404199"	"Treatment"	"FMT"	"TreatmentFMT"	-1.50694649580766	-0.216192636048604	0.411302631565144	0.00817311757459138	0.173678748460067	0.00817311757459138	0.196256744371453	NA	"abundance"	73	52
"g__CAG-314"	"Treatment"	"FMT"	"TreatmentFMT"	3.6828124269454	-0.216192636048604	0.878563323301838	0.00786139831272203	0.173678748460067	0.0156609950420128	0.217016645582177	NA	"abundance"	73	7
"g__Clostridium_T"	"Treatment"	"FMT"	"TreatmentFMT"	1.40414203002931	0	0.512880832308329	0.00618601535837789	0.173678748460067	0.0123337639307417	0.199395850213657	NA	"prevalence"	73	29
"g__Ligilactobacillus"	"Treatment"	"FMT"	"TreatmentFMT"	1.33615927593601	0	0.547183042198598	0.0146107103195896	0.27598008381447	0.0290079477831362	0.351721366870527	NA	"prevalence"	73	23
"g__Eubacterium_G_180878"	"Treatment"	"FMT"	"TreatmentFMT"	1.69319296339603	-0.216192636048604	0.69263393449032	0.01862296113635	0.287809399379954	0.036899107591214	0.357921343634775	NA	"abundance"	73	19
"g__Enterococcus_H_360604"	"Treatment"	"FMT"	"TreatmentFMT"	-2.34283629374653	0	0.983185412904462	0.0171766805680774	0.287809399379954	0.034058322780817	0.357921343634775	NA	"prevalence"	73	10
"g__Romboutsia_B"	"Treatment"	"FMT"	"TreatmentFMT"	1.4434767667194	0	0.623401915355161	0.0205864937254995	0.291641994444577	0.040749183727089	0.359333711047967	NA	"prevalence"	73	57
"g__Enterococcus_H_360604"	"Treatment"	"FMT"	"TreatmentFMT"	7.8559118938555	-0.216192636048604	2.93736983598508	0.0255605764337994	0.331025862774608	0.034058322780817	0.357921343634775	NA	"abundance"	73	10
