"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Bacteroides_H_857956"	"Injury"	"TBI"	"InjuryTBI"	0.98043724872161	-0.635030535747611	0.673265918062319	0.00219962169206633	0.183668411287539	0.00439440504854446	0.22631186000004	NA	"abundance"	111	107
"g__Curtobacterium"	"Injury"	"TBI"	"InjuryTBI"	-1.90606123254776	0	0.618305576742774	0.00205119985771062	0.183668411287539	0.00409819229456497	0.22631186000004	NA	"prevalence"	111	14
"g__Ligilactobacillus"	"Injury"	"TBI"	"InjuryTBI"	2.56798427952006	-0.635030535747611	1.35248862304511	0.00735858079810003	0.245776598656541	0.0146630128848379	0.302058065427661	NA	"abundance"	111	49
"c__Chloroplast Class"	"Injury"	"TBI"	"InjuryTBI"	-1.16884813391469	0	0.423034471201917	0.00572711529628828	0.245776598656541	0.0114214307429596	0.302058065427661	NA	"prevalence"	111	48
"g__Rudaeicoccus"	"Injury"	"TBI"	"InjuryTBI"	-1.49919131236825	0	0.556851676718561	0.00709688998754617	0.245776598656541	0.014143414127597	0.302058065427661	NA	"prevalence"	111	16
"g__Parasutterella_564865"	"Injury"	"TBI"	"InjuryTBI"	0.877630044715726	-0.635030535747611	0.815990983028172	0.0139167988076028	0.387350900144944	0.0276399203261543	0.474485298932315	NA	"abundance"	111	56
"g__Clostridium_T"	"Injury"	"TBI"	"InjuryTBI"	1.50135924031434	-0.635030535747611	1.01260625109292	0.0170145949318476	0.405919621945508	0.0337396934230004	0.496455488938435	NA	"abundance"	111	18
"f__Mitochondria Family"	"Injury"	"TBI"	"InjuryTBI"	0.856462546482335	-0.635030535747611	0.945196525885884	0.0547830702886233	0.763467867347892	0.106564955786998	0.731846920094744	NA	"abundance"	111	11
"f__Oscillospiraceae_88309 Family"	"Injury"	"TBI"	"InjuryTBI"	0.231529179670139	-0.635030535747611	0.809766806453555	0.143221170693829	0.763467867347892	0.265930037652747	0.731846920094744	NA	"abundance"	111	6
"f__UBA1242 Family"	"Injury"	"TBI"	"InjuryTBI"	2.49208896777221	-0.635030535747611	2.27325364012351	0.130348068369331	0.763467867347892	0.243705517811047	0.731846920094744	NA	"abundance"	111	11
"g__Akkermansia"	"Injury"	"TBI"	"InjuryTBI"	1.38760613371241	-0.635030535747611	1.46070665676273	0.0770338598902329	0.763467867347892	0.0809606447316868	0.731846920094744	NA	"abundance"	111	41
"g__Borkfalkia"	"Injury"	"TBI"	"InjuryTBI"	0.906559160153458	-0.635030535747611	1.44747954519346	0.151387110469118	0.763467867347892	0.279856163722048	0.731846920094744	NA	"abundance"	111	17
"g__Brachybacterium"	"Injury"	"TBI"	"InjuryTBI"	-4.09642857412571	-0.635030535747611	1.45683236585124	0.155436571795379	0.763467867347892	0.286712615739258	0.731846920094744	NA	"abundance"	111	5
"g__CAG-314"	"Injury"	"TBI"	"InjuryTBI"	1.44006213127106	-0.635030535747611	1.57485883720788	0.108093422505031	0.763467867347892	0.204502657021211	0.731846920094744	NA	"abundance"	111	15
"g__Dubosiella"	"Injury"	"TBI"	"InjuryTBI"	0.606446479867251	-0.635030535747611	1.10175652720043	0.0987809384052251	0.763467867347892	0.187804203018233	0.731846920094744	NA	"abundance"	111	33
"g__Pandoraea"	"Injury"	"TBI"	"InjuryTBI"	0.644748125926938	-0.635030535747611	1.21147192321831	0.122653712572274	0.763467867347892	0.157656020021099	0.731846920094744	NA	"abundance"	111	35
"g__Sporosarcina"	"Injury"	"TBI"	"InjuryTBI"	1.9377654311541	-0.635030535747611	1.58599183006719	0.114051957315177	0.763467867347892	0.215096065662931	0.731846920094744	NA	"abundance"	111	6
"g__Turicibacter"	"Injury"	"TBI"	"InjuryTBI"	-3.19029707258074	-0.635030535747611	1.03183945259582	0.0819640225308742	0.763467867347892	0.157209944072307	0.731846920094744	NA	"abundance"	111	57
"o__Lachnospirales Order"	"Injury"	"TBI"	"InjuryTBI"	-3.82809723408916	-0.635030535747611	0.22048932564107	0.0882932468126713	0.763467867347892	0.168790796192619	0.731846920094744	NA	"abundance"	111	3
"d__Bacteria Kingdom"	"Injury"	"TBI"	"InjuryTBI"	-1.7068060333195	0	1.05156410102976	0.104565521302806	0.763467867347892	0.198197094360284	0.731846920094744	NA	"prevalence"	111	4
"g__Akkermansia"	"Injury"	"TBI"	"InjuryTBI"	0.940400071291188	0	0.4609447386732	0.0413345968126767	0.763467867347892	0.0809606447316868	0.731846920094744	NA	"prevalence"	111	41
"g__Anaerosalibacter"	"Injury"	"TBI"	"InjuryTBI"	-1.7068060333195	0	1.05156410102975	0.104565521302805	0.763467867347892	0.198197094360283	0.731846920094744	NA	"prevalence"	111	4
