feature	c__Bacilli_A Class	c__Chloroplast Class	d__Bacteria Kingdom	f__Coprobacillaceae Family	f__Mitochondria Family	f__Oscillospiraceae_88309 Family	f__Paenibacillaceae_367444 Family	f__Peptostreptococcaceae_256921 Family	f__Tissierellaceae Family	f__UBA1242 Family	g__Acidovorax_F_589733	g__Adlercreutzia_A_404257	g__Agrobacterium	g__Akkermansia	g__Alistipes_A_871400	g__Alkaliphilus_B	g__Anaerocolumna	g__Anaerosalibacter	g__Anaerosporobacter	g__Aneurinibacillus_B_362085	g__Arthrobacter_E_386002	g__Bacillus_A	g__Bacillus_P_294101	g__Bacteroides_H_857956	g__Borkfalkia	g__Brachybacterium	g__Brevibacillus_D_362672	g__Brevibacterium	g__Burkholderia	g__C-19	g__CAG-314	g__CAG-873	g__Caldibacillus_B	g__Cellulosimicrobium	g__Cerasibacillus	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_G	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Corynebacterium	g__Curtobacterium	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Enterococcus_H_360604	g__Faecalibaculum	g__Glutamicibacter	g__Granulimonas	g__JC017	g__Jeotgalibaca	g__Klebsiella_724518	g__Kroppenstedtia_A	g__Kurthia	g__Lacrimispora	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus_A_346120	g__Laedolimicola	g__Latilactobacillus	g__Lawsonibacter	g__Lepagella	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__Mammaliicoccus_319278	g__Merdibacter	g__Methylobacterium	g__Microbacterium_A_383321	g__Novosphingobium	g__Oceanobacillus_287537	g__Paenibacillus_A	g__Paenibacillus_J_366884	g__Paenibacillus_L	g__Pandoraea	g__Pantoea_680069	g__Paraclostridium	g__Paramuribaculum	g__Parasutterella_564865	g__Plantibacter	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Rudaeicoccus	g__Ruminiclostridium_D	g__Rummeliibacillus	g__Schaedlerella	g__Siminovitchia	g__Sporosarcina	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Terrisporobacter	g__Thermoactinomyces_A	g__Tissierella_B_223997	g__Turicibacter	g__Ureibacillus	g__Vagococcus_B	g__Weissella	o__Lachnospirales Order
Villapol_527_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.94166542982452	NA	NA	NA	-1.88068513920417	-6.35670292910337	NA	NA	NA	NA	NA	NA	NA	NA	-1.08925912414157	NA	NA	NA	NA	NA	-10.8676648483807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.53316807999033	-11.8676648483807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.24707843792887	NA	-9.66603098721109	NA	NA	NA	NA	NA	-5.97042442280595	NA	NA	NA	NA	NA	NA	NA	-7.15616994173066	NA	NA	NA	-4.89038492488083	NA	NA	NA	-9.43470544110464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.78871350698592	NA	NA	NA	NA
Villapol_528_1DPI	NA	NA	-12.7746841239199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7746841239199	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.90431940433645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.611663484339063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.7881309741632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.1934835419949	NA	NA	NA	NA	NA	-6.43483412103523	NA	NA	NA	NA
Villapol_529_1DPI	NA	NA	NA	NA	-9.89003037704639	NA	NA	NA	-12.5904700951875	NA	NA	NA	NA	-10.1310384765502	-11.5904700951875	NA	NA	NA	NA	NA	NA	NA	-12.5904700951875	-8.46118707824252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1310384765502	NA	NA	NA	NA	-11.2685420003001	NA	-0.196677455412904	NA	NA	NA	-7.54607597582903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.40435585564584	NA	NA	NA	NA	NA	NA	NA	-10.5904700951875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.6246858105254	NA	NA	NA	NA
Villapol_530_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.06344031559839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.9770243213801	NA	NA	NA	NA	NA	-5.12974321490978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.8774886478292	NA	NA	NA	NA	NA	NA	-9.73998512407929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.08393952529665	NA	NA	NA	NA	-10.6969164021874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.78437924343774	NA	NA	NA	NA
Villapol_531_1DPI	NA	-7.40962885412866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.15109584052981	-12.5661333398086	NA	NA	NA	NA	NA	NA	NA	NA	-1.76092688432962	NA	-13.1510958405298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.98117083908749	NA	NA	NA	NA	-9.82916774564244	NA	-3.65724039128898	-10.9811708390875	NA	NA	-9.82916774564244	NA	NA	NA	NA	NA	NA	NA	-8.3437409184722	NA	NA	NA	NA	NA	NA	-6.20858133519056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.58313976511434	NA	NA	NA	NA	NA	NA	NA	-6.38954460808533	-12.1510958405298	NA	NA	NA	NA	NA	NA	-8.98117083908749	NA	NA	NA	NA	NA	-1.26635293695011	NA	NA	NA	NA
Villapol_532_1DPI	NA	-7.50832893872004	NA	NA	-10.5246307510491	NA	NA	NA	-10.8141373682441	NA	NA	NA	NA	NA	NA	-11.6621342747991	-11.3990998689653	NA	NA	NA	NA	NA	NA	-4.14801201462837	NA	-11.3990998689653	NA	NA	-10.5246307510491	NA	NA	NA	NA	-11.6621342747991	NA	NA	NA	NA	-11.6621342747991	NA	NA	-11.9840623696864	NA	-8.66213427479907	NA	NA	-0.160197597117807	NA	NA	NA	-7.68028162150933	NA	NA	NA	NA	NA	NA	NA	-8.07717177407792	NA	NA	-10.5246307510491	NA	NA	-12.3990998689653	NA	NA	NA	NA	NA	NA	NA	NA	-11.3990998689653	NA	NA	-7.17670744762883	NA	NA	NA	NA	NA	NA	NA	-8.73613485624285	NA	NA	NA	NA	NA	NA	NA	-10.5246307510491	NA	NA	-12.9840623696864	NA	NA	-5.92877993418525	NA	NA	NA	NA
Villapol_533_1DPI	NA	-13.9064443806828	NA	NA	NA	NA	NA	NA	NA	NA	-13.5845162857954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0150641189958536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.9995537850743	NA	NA	NA	NA	NA	-7.61642553375016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.80841229772226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.9064443806828	-10.3214818799616	-13.0990894586252	NA	NA	NA	NA	-10.1250846671581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.9064443806828	NA	NA	NA	NA	-10.9995537850743	NA	NA	NA	NA
Villapol_534_1DPI	NA	-5.0227257574642	NA	NA	NA	NA	-12.9769220678511	NA	-9.65499397296372	NA	NA	NA	NA	NA	NA	NA	-10.0700314722426	NA	-9.58460464507232	-11.9769220678511	-10.3919595671299	-11.6549939729637	-9.51749044921378	-0.358651288270828	NA	-9.97692206785108	NA	-10.0700314722426	NA	NA	NA	NA	NA	-10.8069970664088	NA	-11.1695671457935	NA	NA	-12.3919595671299	-10.0700314722426	NA	-9.27648234970999	NA	-7.29042154066786	NA	NA	-3.61059985360526	NA	NA	NA	NA	NA	NA	NA	-8.97692206785108	NA	-10.1695671457935	-10.9769220678511	-6.738517328526	NA	NA	-9.51749044921378	NA	NA	-11.1695671457935	NA	-9.22203456568761	-10.3919595671299	NA	-10.3919595671299	-8.51749044921378	NA	-8.24900161328788	-11.9769220678511	-12.3919595671299	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.07003147224256	NA	NA	-11.9769220678511	NA	NA	NA	-9.72899455440749	-8.65499397296372	NA	NA	NA	NA	NA	-4.19556235432642	NA	-11.6549939729637	-9.39195956712992	-12.3919595671299
Villapol_535_1DPI	NA	-8.48392771387764	NA	NA	NA	NA	NA	-11.0688902145988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.265342055222229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.9168871211537	-9.95341299717886	NA	NA	-8.30807787847822	NA	NA	-7.69965640493308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.27303093137902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.2388152160411	NA	NA	NA	-6.78760410420878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.80836266437558	NA	NA	NA	NA
Villapol_536_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.13397416532701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.6834881221006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.4958267563615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
