"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Stenotrophomonas_A_615274"	"Sex"	"F"	"SexF"	-2.51720703212951	0	0.63285300691888	6.96278030424099e-05	0.0116278431080825	0.000139250758053863	0.0143428280795479	NA	"prevalence"	111	26
"g__Stenotrophomonas_A_615274"	"Sex"	"F"	"SexF"	-7.49222339997758	1.05080657234561	2.05516884626039	0.000407358919678469	0.0340144697931521	0.000139250758053863	0.0143428280795479	NA	"abundance"	111	26
"g__Acidovorax_F_589733"	"Sex"	"F"	"SexF"	-2.67370300819212	1.05080657234561	0.41065071433638	0.00190182508731507	0.105868263193872	0.0038000332359674	0.195701711652321	NA	"abundance"	111	6
"g__Novosphingobium"	"Sex"	"F"	"SexF"	-2.16445915791947	1.05080657234561	0.667661368669379	0.00478640667123043	0.19983247852387	0.00954990365363845	0.327880025441587	NA	"abundance"	111	8
"g__Lawsonibacter"	"Sex"	"F"	"SexF"	-2.58008715753294	1.05080657234561	1.01368365251528	0.0112336742822898	0.37520472102848	0.0223411531266991	0.575284693012502	NA	"abundance"	111	9
"g__Clostridium_T"	"Sex"	"F"	"SexF"	1.36162568831281	0	0.590619721213324	0.0211431410208587	0.588484091747233	0.0418392496294894	0.623194632301387	NA	"prevalence"	111	18
"f__Mitochondria Family"	"Sex"	"F"	"SexF"	2.22750655310704	1.05080657234561	0.598829519969587	0.108131642585356	0.743188794921304	0.204570833042505	0.623194632301387	NA	"abundance"	111	11
"f__Tissierellaceae Family"	"Sex"	"F"	"SexF"	-2.95932383303685	1.05080657234561	2.02441932858704	0.107738033399	0.743188794921304	0.187375426196908	0.623194632301387	NA	"abundance"	111	7
"g__Aneurinibacillus_B_362085"	"Sex"	"F"	"SexF"	-0.816727786381569	1.05080657234561	1.20343752542342	0.161258957837421	0.743188794921304	0.296513464192031	0.623194632301387	NA	"abundance"	111	13
"g__Arthrobacter_E_386002"	"Sex"	"F"	"SexF"	3.27611503275198	1.05080657234561	0.966341596602949	0.269258655390588	0.743188794921304	0.466017087278429	0.813555254062342	NA	"abundance"	111	3
"g__Bacillus_P_294101"	"Sex"	"F"	"SexF"	-0.799280490885336	1.05080657234561	1.06409772561084	0.133862298701538	0.743188794921304	0.249805482389415	0.623194632301387	NA	"abundance"	111	10
"g__Borkfalkia"	"Sex"	"F"	"SexF"	2.29864847562057	1.05080657234561	1.15830774470848	0.300283884179488	0.743188794921304	0.425449847038931	0.770193256555506	NA	"abundance"	111	17
"g__Burkholderia"	"Sex"	"F"	"SexF"	2.82440517579375	1.05080657234561	0.783526633968162	0.279311907472371	0.743188794921304	0.480608673288887	0.825044889145923	NA	"abundance"	111	3
"g__Caldibacillus_B"	"Sex"	"F"	"SexF"	-2.0517438128911	1.05080657234561	1.97554484503678	0.196777005735938	0.743188794921304	0.354832821485475	0.716623149274587	NA	"abundance"	111	6
"g__Duncaniella"	"Sex"	"F"	"SexF"	-1.40478445946278	1.05080657234561	1.7621808861443	0.190643506142772	0.743188794921304	0.296584664809635	0.623194632301387	NA	"abundance"	111	17
"g__Lacticaseibacillus"	"Sex"	"F"	"SexF"	-1.44769260419598	1.05080657234561	1.71156969339347	0.201246610533899	0.743188794921304	0.127295966137784	0.623194632301387	NA	"abundance"	111	8
"g__Lactococcus_A_346120"	"Sex"	"F"	"SexF"	2.32262860837873	1.05080657234561	0.0168857463323294	0.147841409414716	0.743188794921304	0.273825736491702	0.623194632301387	NA	"abundance"	111	3
"g__Lepagella"	"Sex"	"F"	"SexF"	2.49937040595671	1.05080657234561	1.09390892483525	0.224807607783329	0.743188794921304	0.399076755049395	0.770193256555506	NA	"abundance"	111	11
"g__Ligilactobacillus"	"Sex"	"F"	"SexF"	-0.846660516707606	1.05080657234561	1.23536365348618	0.142693364279986	0.743188794921304	0.265025332350431	0.623194632301387	NA	"abundance"	111	49
"g__Merdibacter"	"Sex"	"F"	"SexF"	-1.90888268988919	1.05080657234561	1.95286740407109	0.230758175567134	0.743188794921304	0.408267015543195	0.770193256555506	NA	"abundance"	111	5
"g__Pandoraea"	"Sex"	"F"	"SexF"	-0.761804454653582	1.05080657234561	0.967880511747828	0.0840031363649616	0.743188794921304	0.160949745810773	0.623194632301387	NA	"abundance"	111	35
"g__Pseudomonas_E_647464"	"Sex"	"F"	"SexF"	2.27984296140973	1.05080657234561	0.837927299732309	0.254380325831004	0.743188794921304	0.44405130149212	0.788573862994627	NA	"abundance"	111	5
"g__Rudaeicoccus"	"Sex"	"F"	"SexF"	2.17189456443989	1.05080657234561	0.965702328117583	0.27440390689937	0.743188794921304	0.101067142890169	0.623194632301387	NA	"abundance"	111	16
"f__Coprobacillaceae Family"	"Sex"	"F"	"SexF"	-1.56155983298104	0	1.01215096252473	0.122876113583382	0.743188794921304	0.230653687877408	0.623194632301387	NA	"prevalence"	111	6
"f__Paenibacillaceae_367444 Family"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"f__Peptostreptococcaceae_256921 Family"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"f__Tissierellaceae Family"	"Sex"	"F"	"SexF"	1.65396193646633	0	1.00121297703563	0.0985430826694532	0.743188794921304	0.187375426196908	0.623194632301387	NA	"prevalence"	111	7
"g__Akkermansia"	"Sex"	"F"	"SexF"	0.771330731030881	0	0.401451532856569	0.0546870237599598	0.743188794921304	0.106383376952197	0.623194632301387	NA	"prevalence"	111	41
"g__Alkaliphilus_B"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Anaerocolumna"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Anaerosalibacter"	"Sex"	"F"	"SexF"	2.88055463308349	0	2.09361613415322	0.168860257339197	0.743188794921304	0.168860257339197	0.623194632301387	NA	"prevalence"	111	4
"g__Anaerosporobacter"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Borkfalkia"	"Sex"	"F"	"SexF"	0.631516986491606	0	0.539767468467445	0.242009133985726	0.743188794921304	0.425449847038931	0.770193256555506	NA	"prevalence"	111	17
"g__Brachybacterium"	"Sex"	"F"	"SexF"	1.23053028569963	0	1.03768404808711	0.235684336711129	0.743188794921304	0.415821566851293	0.770193256555506	NA	"prevalence"	111	5
"g__Brevibacterium"	"Sex"	"F"	"SexF"	2.59417607856265	0	2.1106908225026	0.219047460812031	0.743188794921304	0.219047460812031	0.623194632301387	NA	"prevalence"	111	3
"g__C-19"	"Sex"	"F"	"SexF"	1.21277575852973	0	0.788931342556459	0.124234876793076	0.743188794921304	0.233035448974361	0.623194632301387	NA	"prevalence"	111	9
"g__CAG-873"	"Sex"	"F"	"SexF"	-2.25918390004113	0	2.09215476318991	0.28021524484281	0.743188794921304	0.28021524484281	0.623194632301387	NA	"prevalence"	111	2
"g__Cellulosimicrobium"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Clostridium_F"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165722	0.743188794921304	0.302521666165722	0.623194632301387	NA	"prevalence"	111	2
"g__Clostridium_G"	"Sex"	"F"	"SexF"	2.59417607856265	0	2.11069082250259	0.219047460812031	0.743188794921304	0.219047460812031	0.623194632301387	NA	"prevalence"	111	3
"g__Clostridium_J"	"Sex"	"F"	"SexF"	2.59417607856265	0	2.1106908225026	0.219047460812031	0.743188794921304	0.219047460812031	0.623194632301387	NA	"prevalence"	111	3
"g__Corynebacterium"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Duncaniella"	"Sex"	"F"	"SexF"	-0.75611183647941	0	0.539806887943659	0.161301403846194	0.743188794921304	0.296584664809635	0.623194632301387	NA	"prevalence"	111	17
"g__Jeotgalibaca"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Klebsiella_724518"	"Sex"	"F"	"SexF"	-3.36241578776091	0	2.0231383148097	0.0965167478592204	0.743188794921304	0.0965167478592204	0.623194632301387	NA	"prevalence"	111	6
"g__Kurthia"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Lacticaseibacillus"	"Sex"	"F"	"SexF"	1.82193542465279	0	0.990348937316264	0.06581370494841	0.743188794921304	0.127295966137784	0.623194632301387	NA	"prevalence"	111	8
"g__Lactiplantibacillus"	"Sex"	"F"	"SexF"	2.20910986350497	0	2.14260169627262	0.302521666165721	0.743188794921304	0.302521666165721	0.623194632301387	NA	"prevalence"	111	2
"g__Lactobacillus"	"Sex"	"F"	"SexF"	0.475688300065389	0	0.381720240123571	0.212702001447124	0.743188794921304	0.380161861474635	0.753012917920912	NA	"prevalence"	111	52
"g__Laedolimicola"	"Sex"	"F"	"SexF"	-0.958229989191286	0	0.81990244588691	0.242519605967871	0.743188794921304	0.426223452656931	0.770193256555506	NA	"prevalence"	111	7
"g__Latilactobacillus"	"Sex"	"F"	"SexF"	2.59417607856265	0	2.11069082250259	0.219047460812031	0.743188794921304	0.219047460812031	0.623194632301387	NA	"prevalence"	111	3
