feature	c__Bacilli_A Class	c__Chloroplast Class	d__Bacteria Kingdom	f__Coprobacillaceae Family	f__Mitochondria Family	f__Oscillospiraceae_88309 Family	f__Paenibacillaceae_367444 Family	f__Peptostreptococcaceae_256921 Family	f__Tissierellaceae Family	f__UBA1242 Family	g__Acidovorax_F_589733	g__Adlercreutzia_A_404257	g__Agrobacterium	g__Akkermansia	g__Alistipes_A_871400	g__Alkaliphilus_B	g__Anaerocolumna	g__Anaerosalibacter	g__Anaerosporobacter	g__Aneurinibacillus_B_362085	g__Arthrobacter_E_386002	g__Bacillus_A	g__Bacillus_P_294101	g__Bacteroides_H_857956	g__Borkfalkia	g__Brachybacterium	g__Brevibacillus_D_362672	g__Brevibacterium	g__Burkholderia	g__C-19	g__CAG-314	g__CAG-873	g__Caldibacillus_B	g__Cellulosimicrobium	g__Cerasibacillus	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_G	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Corynebacterium	g__Curtobacterium	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Enterococcus_H_360604	g__Faecalibaculum	g__Glutamicibacter	g__Granulimonas	g__JC017	g__Jeotgalibaca	g__Klebsiella_724518	g__Kroppenstedtia_A	g__Kurthia	g__Lacrimispora	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus_A_346120	g__Laedolimicola	g__Latilactobacillus	g__Lawsonibacter	g__Lepagella	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__Mammaliicoccus_319278	g__Merdibacter	g__Methylobacterium	g__Microbacterium_A_383321	g__Novosphingobium	g__Oceanobacillus_287537	g__Paenibacillus_A	g__Paenibacillus_J_366884	g__Paenibacillus_L	g__Pandoraea	g__Pantoea_680069	g__Paraclostridium	g__Paramuribaculum	g__Parasutterella_564865	g__Plantibacter	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Rudaeicoccus	g__Ruminiclostridium_D	g__Rummeliibacillus	g__Schaedlerella	g__Siminovitchia	g__Sporosarcina	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Terrisporobacter	g__Thermoactinomyces_A	g__Tissierella_B_223997	g__Turicibacter	g__Ureibacillus	g__Vagococcus_B	g__Weissella	o__Lachnospirales Order
Villapol_527_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00101685844260102	NA	NA	NA	0.271554723039872	0.0122023013112122	NA	NA	NA	NA	NA	NA	NA	NA	0.47000267594327	NA	NA	NA	NA	NA	0.000535188654000535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0863794487556864	0.000267594327000268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0263312817768263	NA	0.00123093390420123	NA	NA	NA	NA	NA	0.0159486218892159	NA	NA	NA	NA	NA	NA	NA	0.00701097136740701	NA	NA	NA	0.0337168852020337	NA	NA	NA	0.00144500936580145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0723575060208724	NA	NA	NA	NA
Villapol_528_1DPI	NA	NA	0.000142704245451302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000285408490902604	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166963967178024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.654441669639672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.289546914020692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0273278630039244	NA	NA	NA	NA	NA	0.0115590438815555	NA	NA	NA	NA
Villapol_529_1DPI	NA	NA	NA	NA	0.00105391163356303	NA	NA	NA	0.00016214025131739	NA	NA	NA	NA	0.000891771382245642	0.000324280502634779	NA	NA	NA	NA	NA	NA	NA	0.00016214025131739	0.00283745439805432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000891771382245642	NA	NA	NA	NA	0.000405350628293474	NA	0.872557762464532	NA	NA	NA	0.00535062829347386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0944466963923794	NA	NA	NA	NA	NA	NA	NA	0.000648561005269558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0202675314146737	NA	NA	NA	NA
Villapol_530_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.956979340160884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000248059817853219	NA	NA	NA	NA	NA	0.0285623161699564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000531556752542613	NA	NA	NA	NA	NA	NA	0.00116942485559375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00737092030192424	NA	NA	NA	NA	0.000602430986214962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0045359509550303	NA	NA	NA	NA
Villapol_531_1DPI	NA	0.00588138294948607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00175891826526686	0.000164898587368768	NA	NA	NA	NA	NA	NA	NA	NA	0.295058538998516	NA	0.000109932391579179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000989391524212609	NA	NA	NA	NA	0.00109932391579179	NA	0.0792612543285879	0.000494695762106305	NA	NA	0.00109932391579179	NA	NA	NA	NA	NA	NA	NA	0.00307810696421701	NA	NA	NA	NA	NA	NA	0.013521684164239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166877370417193	NA	NA	NA	NA	NA	NA	NA	0.0119276644863409	0.000219864783158358	NA	NA	NA	NA	NA	NA	0.00197878304842522	NA	NA	NA	NA	NA	0.415709338756665	NA	NA	NA	NA
Villapol_532_1DPI	NA	0.0054924709948161	NA	NA	0.000678844729696371	NA	NA	NA	0.000555418415206122	NA	NA	NA	NA	NA	NA	0.000308565786225623	0.000370278943470748	NA	NA	NA	NA	NA	NA	0.0564058257220439	NA	0.000370278943470748	NA	NA	0.000678844729696371	NA	NA	NA	NA	0.000308565786225623	NA	NA	NA	NA	0.000308565786225623	NA	NA	0.000246852628980499	NA	0.00246852628980499	NA	NA	0.894902493211553	NA	NA	NA	0.00487533942236485	NA	NA	NA	NA	NA	NA	NA	0.00370278943470748	NA	NA	0.000678844729696371	NA	NA	0.000185139471735374	NA	NA	NA	NA	NA	NA	NA	NA	0.000370278943470748	NA	NA	0.00691187361145396	NA	NA	NA	NA	NA	NA	NA	0.00234509997531474	NA	NA	NA	NA	NA	NA	NA	0.000678844729696371	NA	NA	0.000123426314490249	NA	NA	0.0164156998272032	NA	NA	NA	NA
Villapol_533_1DPI	NA	6.5124306019114e-05	NA	NA	NA	NA	NA	NA	NA	NA	8.14053825238925e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989612673189951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000488432295143355	NA	NA	NA	NA	NA	0.00509597694599567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00223050748115465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2562153009557e-05	0.000781491672229368	0.000113967535533449	NA	NA	NA	NA	0.000895459207762817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5124306019114e-05	NA	NA	NA	NA	0.000488432295143355	NA	NA	NA	NA
Villapol_534_1DPI	NA	0.030761597618457	NA	NA	NA	NA	0.000124038700074423	NA	0.00124038700074423	NA	NA	NA	NA	NA	NA	NA	0.000930290250558174	NA	0.00130240635078144	0.000248077400148846	0.000744232200446539	0.000310096750186058	0.00136442570081866	0.779893326717936	NA	0.000992309600595386	NA	0.000930290250558174	NA	NA	NA	NA	NA	0.000558174150334905	NA	0.000434135450260481	NA	NA	0.000186058050111635	0.000930290250558174	NA	0.0016125031009675	NA	0.0063879930538328	NA	NA	0.0818655420491193	NA	NA	NA	NA	NA	NA	NA	0.00198461920119077	NA	0.000868270900520963	0.000496154800297693	0.00936492185561895	NA	NA	0.00136442570081866	NA	NA	0.000434135450260481	NA	0.00167452245100471	0.000744232200446539	NA	0.000744232200446539	0.00272885140163731	NA	0.00328702555197222	0.000248077400148846	0.000186058050111635	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037211610022327	NA	NA	0.000248077400148846	NA	NA	NA	0.00117836765070702	0.00248077400148846	NA	NA	NA	NA	NA	0.0545770280327462	NA	0.000310096750186058	0.00148846440089308	0.000186058050111635
Villapol_535_1DPI	NA	0.00279307937000543	NA	NA	NA	NA	NA	0.000465513228334238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.832001448263377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000517236920371376	0.00100861199472418	NA	NA	0.00315514521426539	NA	NA	0.0048103033594538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0032327307523211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00020689476814855	NA	NA	NA	0.00905164610649908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1427573900225	NA	NA	NA	NA
Villapol_536_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.911317599665565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.80040284270133e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0886443963060084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
