feature	f__Acutalibacteraceae Family	f__Christensenellaceae Family	f__Coprobacillaceae Family	f__Dehalobacteriaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	f__UBA1242 Family	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerocolumna	g__Anaerosporobacter	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Blautia_A_141780	g__Borkfalkia	g__C-19	g__CAG-314	g__CAG-873	g__COE1	g__Cellulosilyticum	g__Choladousia	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_J	g__Clostridium_T	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterocloster	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_G_180878	g__Eubacterium_R	g__Evtepia	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Kineothrix	g__Klebsiella_724518	g__Lachnoclostridium_A_184689	g__Lachnotalea	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__MD308	g__Merdibacter	g__Paenibacillus_A	g__Pandoraea	g__Paraclostridium	g__Parasutterella_564865	g__Petralouisia	g__Porcincola	g__Robinsoniella	g__Romboutsia_B	g__Romboutsia_D_247318	g__Romboutsia_E	g__Schaedlerella	g__Solibaculum	g__Sporofaciens	g__Stenotrophomonas_A_615274	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__UBA5905	o__Lachnospirales Order
Villapol_527_3DPI	NA	NA	NA	NA	-7.93734439215023	NA	NA	NA	NA	NA	NA	NA	NA	-2.94457596138131	NA	NA	NA	-0.414096099545023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.08934748559528	NA	NA	NA	NA	NA	-5.77384565986735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.45191756497999	NA	-6.93734439215023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.37174721629601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.01895815770388	NA	NA
Villapol_528_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.66101674093291	NA	NA	NA	-0.330074333589002	-10.5313814605163	NA	NA	NA	NA	NA	NA	-5.85330955540367	NA	NA	NA	NA	-5.60538204196009	NA	NA	NA	NA	NA	-4.04166727494297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.71035160156163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.90689059560852	NA	NA
Villapol_529_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.180288209604037	-8.20439111491896	NA	NA	NA	NA	NA	NA	-7.31471452982496	NA	-9.96815676842889	NA	-7.59892295876317	-4.72339653406398	NA	NA	NA	NA	NA	-5.31471452982496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.55311926915	-5.11225010153917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.3831942677077	NA	-8.75870340279994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.029557313093	NA	-7.38319426770773	NA	NA
Villapol_533_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.52477591782003	NA	NA	NA	-0.497017446284756	NA	NA	NA	-9.51799738518897	NA	NA	NA	NA	NA	NA	-8.7244482626564	-11.6175330587399	-3.46561047507698	NA	NA	NA	NA	NA	-5.5453047311847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.4248879807975	NA	NA	-9.56690698566991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_535_3DPI	NA	NA	-5.4786377440625	NA	NA	-7.43234409178856	NA	NA	NA	NA	-9.8322746986772	-11.4172371993984	NA	-3.52040026845376	NA	NA	NA	-0.863927899947289	-9.00219970011951	NA	NA	-12.0021997001195	NA	-8.35834351034479	NA	NA	-6.64464769550143	NA	NA	NA	-7.91473685886917	-1.92005065876564	-6.72607529484527	NA	-10.3017599819784	NA	NA	NA	-8.44761084844187	-8.4786377440625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.00219970011951	NA	NA	-8.30175998197842	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.41348506453725	-9.8322746986772	NA	NA	NA	NA	NA	NA	NA	-9.4786377440625	NA	NA	NA	-8.32977435814801	NA	NA
Villapol_538_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.400121953367	NA	-3.81273760376272	NA	NA	NA	-0.494104219562403	-12.3543182637539	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.06891604489164	-6.90310715192156	-5.12429782804825	NA	NA	NA	-8.75440542156676	NA	-7.90310715192156	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.13726935019755	-6.73960841963868	-5.64179126331406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.13152336088578	NA	NA	NA	NA	NA	NA	-10.0323901688665	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_539_3DPI	NA	NA	NA	NA	NA	NA	NA	-15.5935661965182	NA	NA	NA	-11.0700042404612	NA	-3.70216219985315	NA	-9.92114085454667	NA	-0.611018186866743	-9.10171310018849	NA	NA	NA	NA	NA	NA	NA	NA	-10.0389773448405	NA	-6.92468121225192	-3.45305592414995	NA	NA	NA	NA	NA	-7.35994651975847	NA	-8.86564574195497	NA	NA	-11.5061033552678	NA	NA	NA	NA	-3.18682971382644	-13.008603695797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.01991900902485	-4.99551369635657	NA	NA	NA	NA	NA	NA	-9.18417526038047	NA	NA	NA	-7.55464720722587	NA	NA	NA	NA
Villapol_540_3DPI	NA	NA	NA	NA	NA	NA	NA	-10.0886557537505	NA	NA	NA	NA	-10.2406588471955	-3.65903978954874	-11.0886557537505	NA	NA	-0.750365060102224	-9.60322892658024	NA	NA	NA	NA	-6.82562134791669	NA	NA	-10.6032289265802	-10.8256213479167	NA	-9.3231210073875	-8.50369325302932	-2.33711169466138	-5.24065884719553	NA	NA	NA	-7.62922413511318	-10.2406588471955	-8.88702189258083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.55260285351027	-6.93485041767144	NA	NA	NA	NA	NA	NA	-13.4105838486378	NA	NA	-11.4105838486378	NA	NA	-5.53406690207284	NA	NA	NA	NA	NA	NA	NA	-12.4105838486378	-11.8256213479167	-8.41058384863784	NA	NA	NA	NA	NA
Villapol_541_3DPI	NA	NA	-9.37389543395062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.01264420925222	NA	NA	NA	-0.475572501508217	-11.2998948525068	NA	NA	NA	NA	-8.8144680253366	NA	NA	-10.4518979459519	NA	NA	NA	-7.33642072853195	-3.15829857412302	-7.1955581926921	NA	NA	NA	-4.71794110165802	-10.4518979459519	-9.53436010614386	-12.036860446673	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.16239132875691	-10.036860446673	NA	NA	-9.45189794595189	NA	NA	NA	NA	NA	NA	NA	NA	-10.1623913287569	-7.05196733906325	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.85363862261728	-7.66762663700733	-6.3550364066993	NA	NA	NA
Villapol_546_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.3122823745329	NA	NA	NA	NA	NA	-0.318178560486507	-9.39974521578327	NA	NA	-6.1805766953211	NA	NA	NA	NA	NA	NA	NA	NA	-5.38851796036001	-11.229820214341	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.2704621988383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.55739487236946	-5.16852403507208	NA	NA	NA	NA	NA	-7.67182476122007	NA	NA	NA	NA	NA	NA	NA	NA	NA
