"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__CAG-873"	"Treatment"	"FMT"	"TreatmentFMT"	4.23555725620311	0	1.04454785322744	5.01516126763031e-05	0.00562692746605635	0.000100300710168352	0.00668433778768162	NA	"prevalence"	48	21
"g__Lepagella"	"Treatment"	"FMT"	"TreatmentFMT"	2.85483216895249	0	0.726247248950581	8.46154506173887e-05	0.00562692746605635	0.000169223741460294	0.00668433778768162	NA	"prevalence"	48	26
"g__Sporofaciens"	"Treatment"	"FMT"	"TreatmentFMT"	-4.18080945372543	-0.635531497930442	0.915157146204515	0.00246695914354877	0.0788539367913867	0.00492783239968161	0.116520081739135	NA	"abundance"	48	15
"g__Duncaniella"	"Treatment"	"FMT"	"TreatmentFMT"	5.822063140568	0	2.0310609199385	0.00415020719954667	0.0788539367913867	0.00828319017929417	0.116520081739135	NA	"prevalence"	48	30
"g__Eubacterium_G_180878"	"Treatment"	"FMT"	"TreatmentFMT"	2.32798417301011	0	0.806482799342192	0.00389442899367597	0.0788539367913867	0.00777369141016516	0.116520081739135	NA	"prevalence"	48	15
"g__Sporofaciens"	"Treatment"	"FMT"	"TreatmentFMT"	2.32798417301011	0	0.806482799342192	0.00389442899367597	0.0788539367913867	0.00492783239968161	0.116520081739135	NA	"prevalence"	48	15
"f__Coprobacillaceae Family"	"Treatment"	"FMT"	"TreatmentFMT"	1.91060302849373	0	0.717680266901492	0.0077633464918802	0.098083359944968	0.0154664234350074	0.14126049785687	NA	"prevalence"	48	16
"g__Alistipes_A_871400"	"Treatment"	"FMT"	"TreatmentFMT"	2.65090442177668	0	1.00526350776041	0.00836368096313125	0.098083359944968	0.0166574107670095	0.14126049785687	NA	"prevalence"	48	12
"g__Choladousia"	"Treatment"	"FMT"	"TreatmentFMT"	5.49700945254261	0	2.09985104764685	0.00884962646120012	0.098083359944968	0.00884962646120012	0.116520081739135	NA	"prevalence"	48	18
"g__Faecalibaculum"	"Treatment"	"FMT"	"TreatmentFMT"	1.91060302849373	0	0.717680266901491	0.00776334649188021	0.098083359944968	0.0154664234350074	0.14126049785687	NA	"prevalence"	48	16
"g__CAG-873"	"Treatment"	"FMT"	"TreatmentFMT"	-1.5024387100565	-0.635531497930442	2.01273352136835	0.642611066035103	0.829779337695812	0.000100300710168352	0.00668433778768162	NA	"abundance"	48	21
"g__Lepagella"	"Treatment"	"FMT"	"TreatmentFMT"	-0.927245234727799	-0.635531497930442	0.922835600772824	0.697726189904346	0.883786507212171	0.000169223741460294	0.00668433778768162	NA	"abundance"	48	26
