"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","shannon_unique"
"1",527,"HEMI","VEH","11DPI","F","TBI",1.32395591890503
"2",528,"HEMI","VEH","11DPI","F","TBI",1.26140780846392
"3",529,"HEMI","VEH","11DPI","F","TBI",1.98988223597226
"4",530,"HEMI","FMT","11DPI","F","TBI",1.8956058262382
"5",531,"HEMI","FMT","11DPI","F","TBI",2.91682304517811
"6",532,"WT","VEH","11DPI","F","TBI",2.44850356208377
"7",533,"WT","VEH","11DPI","F","TBI",2.36197998565551
"8",534,"WT","VEH","11DPI","F","TBI",0.648452378542421
"9",535,"WT","FMT","11DPI","F","TBI",1.94081192330623
"10",536,"WT","FMT","11DPI","F","TBI",1.72622870158185
"11",537,"HEMI","VEH","11DPI","M","TBI",2.33233771897998
"12",538,"HEMI","VEH","11DPI","M","TBI",2.35747036733997
"13",539,"HEMI","VEH","11DPI","M","TBI",2.18686126059911
"14",540,"HEMI","FMT","11DPI","M","TBI",1.98062100361939
"15",541,"HEMI","FMT","11DPI","M","TBI",2.38073543103768
"16",542,"HEMI","VEH","11DPI","M","Sham",2.30953651776116
"17",543,"HEMI","VEH","11DPI","M","Sham",1.84888496701043
"18",544,"HEMI","FMT","11DPI","M","Sham",2.65925212878938
"19",545,"HEMI","FMT","11DPI","M","Sham",1.96164664088812
"20",546,"WT","VEH","11DPI","M","TBI",1.69080447900413
"21",547,"WT","VEH","11DPI","M","TBI",2.1946598418957
"22",548,"WT","FMT","11DPI","M","TBI",2.23571928133036
"23",549,"WT","FMT","11DPI","M","TBI",2.05230762931838
"24",550,"WT","VEH","11DPI","F","Sham",2.49911103409306
"25",551,"WT","VEH","11DPI","F","Sham",1.91292386822511
"26",552,"WT","VEH","11DPI","F","Sham",1.08793339040208
"27",553,"WT","FMT","11DPI","F","Sham",2.15186970703869
"28",554,"WT","FMT","11DPI","F","Sham",1.85781073121626
"29",555,"HEMI","FMT","11DPI","F","Sham",1.98027669287002
"30",556,"HEMI","FMT","11DPI","F","Sham",2.73177868871834
"31",557,"HEMI","FMT","11DPI","F","Sham",2.34973152761164
"32",558,"WT","VEH","11DPI","M","Sham",2.12985875750956
"33",559,"WT","VEH","11DPI","M","Sham",2.35822711624259
"34",560,"WT","FMT","11DPI","M","Sham",2.14018148169978
"35",561,"WT","FMT","11DPI","M","Sham",1.85366251578011
"36",562,"HEMI","FMT","11DPI","F","TBI",1.38288394914413
"37",563,"HEMI","FMT","11DPI","F","TBI",2.7026554788167
"38",564,"HEMI","VEH","11DPI","F","TBI",2.68904506130264
"39",565,"HEMI","VEH","11DPI","F","TBI",2.38404940511506
"40",566,"HEMI","FMT","11DPI","M","Sham",2.88869122196062
"41",567,"HEMI","FMT","11DPI","M","Sham",1.84495350147803
"42",568,"HEMI","VEH","11DPI","M","Sham",2.30066010630355
"43",569,"HEMI","VEH","11DPI","M","Sham",2.32568764278587
"44",570,"WT","FMT","11DPI","F","Sham",2.01082564912032
"45",571,"WT","FMT","11DPI","F","Sham",2.3491634845364
"46",572,"WT","FMT","11DPI","F","Sham",1.63922438068926
"47",573,"WT","VEH","11DPI","F","Sham",2.28507803851482
"48",574,"WT","VEH","11DPI","F","Sham",1.4414333227508
"49",575,"WT","FMT","11DPI","M","Sham",2.25598750496088
"50",576,"WT","FMT","11DPI","M","Sham",2.20916128060396
"51",577,"WT","FMT","11DPI","M","Sham",2.63993580899916
"52",578,"WT","VEH","11DPI","M","Sham",2.25447505873868
"53",579,"WT","VEH","11DPI","M","Sham",2.51553220547605
"54",580,"HEMI","VEH","11DPI","F","Sham",2.30342069100041
"55",581,"HEMI","VEH","11DPI","F","Sham",2.2846606765177
"56",582,"HEMI","VEH","11DPI","F","Sham",2.23321135548073
"57",583,"HEMI","FMT","11DPI","F","Sham",1.92787345408279
"58",584,"HEMI","FMT","11DPI","F","Sham",2.85349065012329
"59",585,"HEMI","FMT","11DPI","M","TBI",2.23602307124579
"60",586,"HEMI","FMT","11DPI","M","TBI",2.20340233065716
"61",587,"HEMI","FMT","11DPI","M","TBI",2.2478789518643
"62",588,"HEMI","VEH","11DPI","M","TBI",2.13115332684187
"63",589,"HEMI","VEH","11DPI","M","TBI",1.05324970720719
"64",590,"WT","FMT","11DPI","F","TBI",2.23552590967456
"65",591,"WT","FMT","11DPI","F","TBI",1.83811610083936
"66",592,"WT","FMT","11DPI","F","TBI",2.30807714689296
"67",593,"WT","VEH","11DPI","F","TBI",2.3189610465766
"68",594,"WT","VEH","11DPI","F","TBI",2.14745156984942
"69",595,"WT","FMT","11DPI","M","TBI",2.16293586829361
"70",596,"WT","FMT","11DPI","M","TBI",2.33271330904889
"71",597,"WT","FMT","11DPI","M","TBI",2.4031746931995
"72",598,"WT","VEH","11DPI","M","TBI",1.27338725771089
"73",599,"WT","VEH","11DPI","M","TBI",1.89215451650162
"74",527,"HEMI","VEH","1DPI","F","TBI",1.91631042375036
"75",527,"HEMI","VEH","3DPI","F","TBI",1.0133076850016
"76",527,"HEMI","VEH","BA","F","TBI",2.81654155717469
"77",528,"HEMI","VEH","1DPI","F","TBI",0.858197771964719
"78",528,"HEMI","VEH","3DPI","F","TBI",0.882709392581131
"79",528,"HEMI","VEH","BA","F","TBI",2.92207336122118
"80",529,"HEMI","VEH","1DPI","F","TBI",0.498577733207337
"81",529,"HEMI","VEH","3DPI","F","TBI",0.724549624339391
"82",529,"HEMI","VEH","BA","F","TBI",2.9467998548491
"83",530,"HEMI","FMT","1DPI","F","TBI",0.234566280015886
"84",531,"HEMI","FMT","1DPI","F","TBI",1.9008295179266
"85",532,"WT","VEH","1DPI","F","TBI",0.529978797609544
"86",533,"WT","VEH","1DPI","F","TBI",0.0749586362261718
"87",533,"WT","VEH","3DPI","F","TBI",1.07138247334276
"88",533,"WT","VEH","BA","F","TBI",2.16503666310265
"89",534,"WT","VEH","1DPI","F","TBI",1.05568843443749
"90",535,"WT","FMT","1DPI","F","TBI",0.730115652819113
"91",535,"WT","FMT","3DPI","F","TBI",1.53510379678594
"92",535,"WT","FMT","BA","F","TBI",2.27458727831113
"93",536,"WT","FMT","1DPI","F","TBI",0.368144123703907
"94",537,"HEMI","VEH","1DPI","M","TBI",0.561733461106296
"95",538,"HEMI","VEH","1DPI","M","TBI",0.867420514564331
"96",538,"HEMI","VEH","3DPI","M","TBI",1.26821695791825
"97",538,"HEMI","VEH","BA","M","TBI",2.15365299096679
"98",539,"HEMI","VEH","1DPI","M","TBI",0.959525075915524
"99",539,"HEMI","VEH","3DPI","M","TBI",1.46993871624091
"100",539,"HEMI","VEH","BA","M","TBI",2.17836428405758
"101",540,"HEMI","FMT","1DPI","M","TBI",1.04747293736692
"102",540,"HEMI","FMT","3DPI","M","TBI",1.60799011479647
"103",540,"HEMI","FMT","BA","M","TBI",2.22962890403058
"104",541,"HEMI","FMT","1DPI","M","TBI",1.38243428875624
"105",541,"HEMI","FMT","3DPI","M","TBI",1.24871012382595
"106",541,"HEMI","FMT","BA","M","TBI",2.06880308313631
"107",542,"HEMI","VEH","1DPI","M","Sham",0.23586164928037
