	Villapol_527_3DPI	Villapol_528_3DPI	Villapol_529_3DPI	Villapol_533_3DPI	Villapol_535_3DPI	Villapol_538_3DPI	Villapol_539_3DPI	Villapol_540_3DPI	Villapol_541_3DPI	Villapol_546_3DPI	Villapol_547_3DPI	Villapol_548_3DPI	Villapol_549_3DPI	Villapol_550_3DPI	Villapol_553_3DPI	Villapol_557_3DPI	Villapol_560_3DPI	Villapol_562_3DPI	Villapol_563_3DPI	Villapol_587_3DPI	Villapol_589_3DPI	Villapol_592_3DPI	Villapol_593_3DPI	Villapol_597_3DPI	Villapol_606_3DPI	Villapol_612_3DPI	Villapol_614_3DPI	Villapol_616_3DPI	Villapol_618_3DPI	Villapol_619_3DPI	Villapol_620_3DPI	Villapol_621_3DPI	Villapol_622_3DPI	Villapol_623_3DPI	Villapol_624_3DPI	Villapol_625_3DPI	Villapol_626_3DPI	Villapol_627_3DPI	Villapol_628_3DPI	Villapol_629_3DPI	Villapol_630_3DPI	Villapol_631_3DPI	Villapol_632_3DPI	Villapol_633_3DPI	Villapol_634_3DPI	Villapol_635_3DPI	Villapol_636_3DPI	Villapol_637_3DPI
c__Bacilli_A Class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Chloroplast Class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Clostridia_258483 Class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Verrucomicrobiae Class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria Kingdom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Acutalibacteraceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
f__Amphibacillaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Anaerovoracaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Bacillaceae_C_302577 Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Bacteroidaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Borkfalkiaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__CAG-508 Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Cellulosilyticaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
