sample	MouseID	Genotype	Treatment	Sex	Timepoint	Injury
Villapol_11_DPI_527	527	HEMI	VEH	F	11DPI	TBI
Villapol_11_DPI_528	528	HEMI	VEH	F	11DPI	TBI
Villapol_11_DPI_529	529	HEMI	VEH	F	11DPI	TBI
Villapol_11_DPI_530	530	HEMI	FMT	F	11DPI	TBI
Villapol_11_DPI_531	531	HEMI	FMT	F	11DPI	TBI
Villapol_11_DPI_532	532	WT	VEH	F	11DPI	TBI
Villapol_11_DPI_533	533	WT	VEH	F	11DPI	TBI
Villapol_11_DPI_534	534	WT	VEH	F	11DPI	TBI
Villapol_11_DPI_535	535	WT	FMT	F	11DPI	TBI
Villapol_11_DPI_536	536	WT	FMT	F	11DPI	TBI
Villapol_11_DPI_537	537	HEMI	VEH	M	11DPI	TBI
Villapol_11_DPI_538	538	HEMI	VEH	M	11DPI	TBI
Villapol_11_DPI_539	539	HEMI	VEH	M	11DPI	TBI
Villapol_11_DPI_540	540	HEMI	FMT	M	11DPI	TBI
Villapol_11_DPI_541	541	HEMI	FMT	M	11DPI	TBI
Villapol_11_DPI_542	542	HEMI	VEH	M	11DPI	Sham
Villapol_11_DPI_543	543	HEMI	VEH	M	11DPI	Sham
Villapol_11_DPI_544	544	HEMI	FMT	M	11DPI	Sham
Villapol_11_DPI_545	545	HEMI	FMT	M	11DPI	Sham
Villapol_11_DPI_546	546	WT	VEH	M	11DPI	TBI
Villapol_11_DPI_547	547	WT	VEH	M	11DPI	TBI
Villapol_11_DPI_548	548	WT	FMT	M	11DPI	TBI
Villapol_11_DPI_549	549	WT	FMT	M	11DPI	TBI
Villapol_11_DPI_550	550	WT	VEH	F	11DPI	Sham
Villapol_11_DPI_551	551	WT	VEH	F	11DPI	Sham
Villapol_11_DPI_552	552	WT	VEH	F	11DPI	Sham
Villapol_11_DPI_553	553	WT	FMT	F	11DPI	Sham
Villapol_11_DPI_554	554	WT	FMT	F	11DPI	Sham
Villapol_11_DPI_555	555	HEMI	FMT	F	11DPI	Sham
Villapol_11_DPI_556	556	HEMI	FMT	F	11DPI	Sham
Villapol_11_DPI_557	557	HEMI	FMT	F	11DPI	Sham
Villapol_11_DPI_558	558	WT	VEH	M	11DPI	Sham
Villapol_11_DPI_559	559	WT	VEH	M	11DPI	Sham
Villapol_11_DPI_560	560	WT	FMT	M	11DPI	Sham
Villapol_11_DPI_561	561	WT	FMT	M	11DPI	Sham
Villapol_11_DPI_562	562	HEMI	FMT	F	11DPI	TBI
Villapol_11_DPI_563	563	HEMI	FMT	F	11DPI	TBI
Villapol_11_DPI_564	564	HEMI	VEH	F	11DPI	TBI
Villapol_11_DPI_565	565	HEMI	VEH	F	11DPI	TBI
Villapol_11_DPI_566	566	HEMI	FMT	M	11DPI	Sham
Villapol_11_DPI_567	567	HEMI	FMT	M	11DPI	Sham
Villapol_11_DPI_568	568	HEMI	VEH	M	11DPI	Sham
Villapol_11_DPI_569	569	HEMI	VEH	M	11DPI	Sham
Villapol_11_DPI_570	570	WT	FMT	F	11DPI	Sham
Villapol_11_DPI_571	571	WT	FMT	F	11DPI	Sham
Villapol_11_DPI_572	572	WT	FMT	F	11DPI	Sham
Villapol_11_DPI_573	573	WT	VEH	F	11DPI	Sham
Villapol_11_DPI_574	574	WT	VEH	F	11DPI	Sham
Villapol_11_DPI_575	575	WT	FMT	M	11DPI	Sham
Villapol_11_DPI_576	576	WT	FMT	M	11DPI	Sham
Villapol_11_DPI_577	577	WT	FMT	M	11DPI	Sham
Villapol_11_DPI_578	578	WT	VEH	M	11DPI	Sham
Villapol_11_DPI_579	579	WT	VEH	M	11DPI	Sham
Villapol_11_DPI_580	580	HEMI	VEH	F	11DPI	Sham
Villapol_11_DPI_581	581	HEMI	VEH	F	11DPI	Sham
Villapol_11_DPI_582	582	HEMI	VEH	F	11DPI	Sham
Villapol_11_DPI_583	583	HEMI	FMT	F	11DPI	Sham
Villapol_11_DPI_584	584	HEMI	FMT	F	11DPI	Sham
Villapol_11_DPI_585	585	HEMI	FMT	M	11DPI	TBI
Villapol_11_DPI_586	586	HEMI	FMT	M	11DPI	TBI
Villapol_11_DPI_587	587	HEMI	FMT	M	11DPI	TBI
Villapol_11_DPI_588	588	HEMI	VEH	M	11DPI	TBI
Villapol_11_DPI_589	589	HEMI	VEH	M	11DPI	TBI
Villapol_11_DPI_590	590	WT	FMT	F	11DPI	TBI
