sample	MouseID	Genotype	Treatment	Sex	Timepoint	Injury
Villapol_527_3DPI	527	HEMI	VEH	F	3DPI	TBI
Villapol_528_3DPI	528	HEMI	VEH	F	3DPI	TBI
Villapol_529_3DPI	529	HEMI	VEH	F	3DPI	TBI
Villapol_533_3DPI	533	WT	VEH	F	3DPI	TBI
Villapol_535_3DPI	535	WT	FMT	F	3DPI	TBI
Villapol_538_3DPI	538	HEMI	VEH	M	3DPI	TBI
Villapol_539_3DPI	539	HEMI	VEH	M	3DPI	TBI
Villapol_540_3DPI	540	HEMI	FMT	M	3DPI	TBI
Villapol_541_3DPI	541	HEMI	FMT	M	3DPI	TBI
Villapol_546_3DPI	546	WT	VEH	M	3DPI	TBI
Villapol_547_3DPI	547	WT	VEH	M	3DPI	TBI
Villapol_548_3DPI	548	WT	FMT	M	3DPI	TBI
Villapol_549_3DPI	549	WT	FMT	M	3DPI	TBI
Villapol_550_3DPI	550	WT	VEH	F	3DPI	Sham
Villapol_553_3DPI	553	WT	FMT	F	3DPI	Sham
Villapol_557_3DPI	557	HEMI	FMT	F	3DPI	Sham
Villapol_560_3DPI	560	WT	FMT	M	3DPI	Sham
Villapol_562_3DPI	562	HEMI	FMT	F	3DPI	TBI
Villapol_563_3DPI	563	HEMI	FMT	F	3DPI	TBI
Villapol_587_3DPI	587	HEMI	FMT	M	3DPI	TBI
Villapol_589_3DPI	589	HEMI	VEH	M	3DPI	TBI
Villapol_592_3DPI	592	WT	FMT	F	3DPI	TBI
Villapol_593_3DPI	593	WT	VEH	F	3DPI	TBI
Villapol_597_3DPI	597	WT	FMT	M	3DPI	TBI
Villapol_606_3DPI	606	WT	FMT	M	3DPI	TBI
Villapol_612_3DPI	612	HEMI	FMT	F	3DPI	TBI
Villapol_614_3DPI	614	WT	FMT	F	3DPI	TBI
Villapol_616_3DPI	616	WT	VEH	F	3DPI	TBI
Villapol_618_3DPI	618	WT	VEH	F	3DPI	TBI
Villapol_619_3DPI	619	HEMI	VEH	M	3DPI	TBI
Villapol_620_3DPI	620	HEMI	VEH	M	3DPI	TBI
Villapol_621_3DPI	621	HEMI	FMT	M	3DPI	TBI
Villapol_622_3DPI	622	HEMI	FMT	M	3DPI	TBI
Villapol_623_3DPI	623	WT	FMT	M	3DPI	TBI
Villapol_624_3DPI	624	WT	FMT	M	3DPI	TBI
Villapol_625_3DPI	625	WT	VEH	M	3DPI	TBI
Villapol_626_3DPI	626	WT	VEH	M	3DPI	TBI
Villapol_627_3DPI	627	WT	VEH	M	3DPI	TBI
Villapol_628_3DPI	628	HEMI	FMT	F	3DPI	TBI
Villapol_629_3DPI	629	HEMI	FMT	F	3DPI	TBI
Villapol_630_3DPI	630	HEMI	VEH	F	3DPI	TBI
Villapol_631_3DPI	631	HEMI	VEH	F	3DPI	TBI
Villapol_632_3DPI	632	HEMI	VEH	F	3DPI	TBI
Villapol_633_3DPI	633	WT	VEH	F	3DPI	TBI
Villapol_634_3DPI	634	WT	VEH	F	3DPI	TBI
Villapol_635_3DPI	635	WT	FMT	F	3DPI	TBI
Villapol_636_3DPI	636	WT	FMT	F	3DPI	TBI
Villapol_637_3DPI	637	WT	FMT	F	3DPI	TBI
